epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.0,,,
0,99,,,,0.0,,,
0,149,,,,0.0,,,
0,199,,,,0.09375,,,
0,249,,,,0.046875,,,
0,299,,,,0.078125,,,
0,349,,,,0.09375,,,
0,399,,,,0.109375,,,
0,449,,,,0.0625,,,
0,499,,,,0.046875,,,
0,549,,,,0.09375,,,
0,599,,,,0.109375,,,
0,624,,,,,,0.10989999771118164,3.772122621536255
0,624,,,0.0551999993622303,,4.198097229003906,,
1,649,,,,0.140625,,,
1,699,,,,0.09375,,,
1,749,,,,0.15625,,,
1,799,,,,0.171875,,,
1,849,,,,0.171875,,,
1,899,,,,0.078125,,,
1,949,,,,0.140625,,,
1,999,,,,0.203125,,,
1,1049,,,,0.1875,,,
1,1099,,,,0.15625,,,
1,1149,,,,0.203125,,,
1,1199,,,,0.1875,,,
1,1249,,,,0.140625,,,
1,1249,,,,,,0.19329999387264252,3.3138725757598877
1,1249,,,0.139724999666214,,3.609792470932007,,
2,1299,,,,0.234375,,,
2,1349,,,,0.296875,,,
2,1399,,,,0.203125,,,
2,1449,,,,0.203125,,,
2,1499,,,,0.265625,,,
2,1549,,,,0.234375,,,
2,1599,,,,0.21875,,,
2,1649,,,,0.171875,,,
2,1699,,,,0.1875,,,
2,1749,,,,0.21875,,,
2,1799,,,,0.28125,,,
2,1849,,,,0.28125,,,
2,1874,,,,,,0.25209999084472656,3.0243844985961914
2,1874,,,0.2050749957561493,,3.2618567943573,,
3,1899,,,,0.21875,,,
3,1949,,,,0.140625,,,
3,1999,,,,0.21875,,,
3,2049,,,,0.21875,,,
3,2099,,,,0.203125,,,
3,2149,,,,0.25,,,
3,2199,,,,0.21875,,,
3,2249,,,,0.125,,,
3,2299,,,,0.28125,,,
3,2349,,,,0.234375,,,
3,2399,,,,0.21875,,,
3,2449,,,,0.21875,,,
3,2499,,,,0.328125,,,
3,2499,,,,,,0.28360000252723694,2.866795301437378
3,2499,,,0.2493000030517578,,3.0154314041137695,,
4,2549,,,,0.28125,,,
4,2599,,,,0.234375,,,
4,2649,,,,0.1875,,,
4,2699,,,,0.25,,,
4,2749,,,,0.25,,,
4,2799,,,,0.234375,,,
4,2849,,,,0.203125,,,
4,2899,,,,0.296875,,,
4,2949,,,,0.265625,,,
4,2999,,,,0.28125,,,
4,3049,,,,0.34375,,,
4,3099,,,,0.296875,,,
4,3124,,,,,,0.31769999861717224,2.6931710243225098
4,3124,,,0.2809000015258789,,2.831657886505127,,
5,3149,,,,0.34375,,,
5,3199,,,,0.375,,,
5,3249,,,,0.3125,,,
5,3299,,,,0.34375,,,
5,3349,,,,0.34375,,,
5,3399,,,,0.328125,,,
5,3449,,,,0.328125,,,
5,3499,,,,0.265625,,,
5,3549,,,,0.296875,,,
5,3599,,,,0.390625,,,
5,3649,,,,0.265625,,,
5,3699,,,,0.296875,,,
5,3749,,,,0.3125,,,
5,3749,,,,,,0.336899995803833,2.6227478981018066
