epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.90625,,,
0,89,,,,,,0.8970000147819519,0.28127214312553406
0,89,,,0.8473043441772461,,0.3752455711364746,,
1,99,,,,0.94140625,,,
1,149,,,,0.91796875,,,
1,179,,,,,,0.8914999961853027,0.28362318873405457
1,179,,,0.9273912906646729,,0.20025645196437836,,
2,199,,,,0.96484375,,,
2,249,,,,0.9453125,,,
2,269,,,,,,0.8899999856948853,0.2987677752971649
2,269,,,0.9455217123031616,,0.1551303118467331,,
3,299,,,,0.94921875,,,
3,349,,,,0.9453125,,,
3,359,,,,,,0.875,0.34180110692977905
3,359,,,0.9572608470916748,,0.12706898152828217,,
4,399,,,,0.95703125,,,
4,449,,,,0.9259259104728699,,,
4,449,,,,,,0.8755000233650208,0.35693496465682983
4,449,,,0.9656956791877747,,0.10502695292234421,,
5,499,,,,0.98046875,,,
5,539,,,,,,0.8809999823570251,0.38750097155570984
5,539,,,0.9727826118469238,,0.08679002523422241,,
6,549,,,,0.9765625,,,
6,599,,,,0.98046875,,,
6,629,,,,,,0.8774999976158142,0.4270949065685272
6,629,,,0.9791738986968994,,0.06997507810592651,,
7,649,,,,0.984375,,,
7,699,,,,0.98046875,,,
7,719,,,,,,0.8700000047683716,0.4649115800857544
7,719,,,0.9867826104164124,,0.05217275023460388,,
8,749,,,,0.99609375,,,
8,799,,,,0.99609375,,,
8,809,,,,,,0.8679999709129333,0.5639634728431702
8,809,,,0.9919999837875366,,0.03906698524951935,,
9,849,,,,0.98828125,,,
9,899,,,,0.9768518805503845,,,
9,899,,,,,,0.8679999709129333,0.5605155229568481
9,899,,,0.9929565191268921,,0.03155174106359482,,
10,949,,,,1.0,,,
10,989,,,,,,0.7954999804496765,1.0094069242477417
10,989,,,0.9938260912895203,,0.028273167088627815,,
11,999,,,,1.0,,,
11,1049,,,,1.0,,,
11,1079,,,,,,0.8665000200271606,0.6036877632141113
11,1079,,,0.9968261122703552,,0.01997753418982029,,
12,1099,,,,1.0,,,
12,1149,,,,1.0,,,
12,1169,,,,,,0.8675000071525574,0.6452681422233582
12,1169,,,0.9987826347351074,,0.010339980944991112,,
13,1199,,,,0.9921875,,,
13,1249,,,,1.0,,,
13,1259,,,,,,0.8644999861717224,0.6955959796905518
13,1259,,,0.9992173910140991,,0.00738292932510376,,
14,1299,,,,1.0,,,
14,1349,,,,1.0,,,
14,1349,,,,,,0.8659999966621399,0.7603309750556946
14,1349,,,0.999434769153595,,0.004808379337191582,,
15,1399,,,,1.0,,,
15,1439,,,,,,0.8604999780654907,0.8153077363967896
15,1439,,,0.9998260736465454,,0.0027214668225497007,,
16,1449,,,,1.0,,,
16,1499,,,,1.0,,,
16,1529,,,,,,0.8619999885559082,0.8608907461166382
16,1529,,,0.9946956634521484,,0.03189577907323837,,
17,1549,,,,1.0,,,
17,1599,,,,1.0,,,
17,1619,,,,,,0.8644999861717224,0.8789884448051453
17,1619,,,0.9999130368232727,,0.002132762223482132,,
18,1649,,,,1.0,,,
18,1699,,,,1.0,,,
18,1709,,,,,,0.8634999990463257,0.894665002822876
18,1709,,,0.9999565482139587,,0.001091471523977816,,
19,1749,,,,1.0,,,
19,1799,,,,1.0,,,
19,1799,,,,,,0.8619999885559082,0.9164353013038635
19,1799,,,1.0,,0.0008402737439610064,,
20,1849,,,,1.0,,,
20,1889,,,,,,0.8615000247955322,0.9424664974212646
20,1889,,,1.0,,0.00066669553052634,,
21,1899,,,,1.0,,,
21,1949,,,,1.0,,,
21,1979,,,,,,0.8615000247955322,0.9731166958808899
21,1979,,,1.0,,0.0005279658944346011,,
22,1999,,,,1.0,,,
22,2049,,,,1.0,,,
22,2069,,,,,,0.862500011920929,1.014602541923523
22,2069,,,1.0,,0.00040462924516759813,,
23,2099,,,,1.0,,,
23,2149,,,,1.0,,,
23,2159,,,,,,0.862500011920929,1.0578142404556274
23,2159,,,1.0,,0.0002989655185956508,,
24,2199,,,,1.0,,,
24,2249,,,,1.0,,,
24,2249,,,,,,0.8629999756813049,1.1059757471084595
24,2249,,,1.0,,0.00021285662660375237,,
25,2299,,,,1.0,,,
25,2339,,,,,,0.8634999990463257,1.168060541152954
25,2339,,,1.0,,0.00014416575140785426,,
26,2349,,,,1.0,,,
26,2399,,,,1.0,,,
26,2429,,,,,,0.862500011920929,1.2185912132263184
26,2429,,,1.0,,9.653379675000906e-05,,
27,2449,,,,1.0,,,
27,2499,,,,1.0,,,
27,2519,,,,,,0.8619999885559082,1.2763227224349976
27,2519,,,1.0,,6.179703632369637e-05,,
28,2549,,,,1.0,,,
28,2599,,,,1.0,,,
28,2609,,,,,,0.8615000247955322,1.3478777408599854
28,2609,,,1.0,,3.915881461580284e-05,,
29,2649,,,,1.0,,,
29,2699,,,,1.0,,,
29,2699,,,,,,0.8615000247955322,1.4133177995681763
29,2699,,,1.0,,2.445436803100165e-05,,
30,2700,0.8471199870109558,1.5263152122497559,,,,,
