epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,0.75,,,
0,99,,0.8046875,,,
0,149,,0.8125,,,
0,187,,,,0.9190000295639038,0.2906355857849121
0,187,0.7562708258628845,,1.6869587898254395,,
1,199,,0.86328125,,,
1,249,,0.90234375,,,
1,299,,0.89453125,,,
1,349,,0.875,,,
1,375,,,,0.9352499842643738,0.23741953074932098
1,375,0.8783541917800903,,0.4217201769351959,,
2,399,,0.890625,,,
2,449,,0.921875,,,
2,499,,0.90625,,,
2,549,,0.87109375,,,
2,563,,,,0.9306666851043701,0.23426997661590576
2,563,0.8978333473205566,,0.3591385781764984,,
3,599,,0.8984375,,,
3,649,,0.91796875,,,
3,699,,0.93359375,,,
3,749,,0.90625,,,
3,751,,,,0.9488333463668823,0.1882067322731018
3,751,0.9069166779518127,,0.3279256522655487,,
4,799,,0.9609375,,,
4,849,,0.91796875,,,
4,899,,0.87890625,,,
4,939,,,,0.9421666860580444,0.20175866782665253
4,939,0.9132916927337646,,0.30596858263015747,,
5,949,,0.890625,,,
5,999,,0.890625,,,
5,1049,,0.90234375,,,
5,1099,,0.9140625,,,
5,1127,,,,0.9508333206176758,0.17560705542564392
5,1127,0.9165208339691162,,0.29919061064720154,,
6,1149,,0.9375,,,
6,1199,,0.90625,,,
6,1249,,0.88671875,,,
6,1299,,0.94921875,,,
6,1315,,,,0.9465833306312561,0.1900714486837387
6,1315,0.9207708239555359,,0.2852962613105774,,
7,1349,,0.921875,,,
7,1399,,0.89453125,,,
7,1449,,0.91015625,,,
7,1499,,0.9296875,,,
7,1503,,,,0.9491666555404663,0.1850532442331314
7,1503,0.922041654586792,,0.27753299474716187,,
8,1549,,0.94140625,,,
8,1599,,0.90234375,,,
8,1649,,0.9296875,,,
8,1691,,,,0.9540833234786987,0.18018776178359985
8,1691,0.9249791502952576,,0.27053824067115784,,
9,1699,,0.953125,,,
9,1749,,0.90625,,,
9,1799,,0.9296875,,,
0,49,,0.9140625,,,
0,99,,0.8984375,,,
0,149,,0.9140625,,,
0,199,,0.859375,,,
0,249,,0.8671875,,,
0,299,,0.8984375,,,
0,349,,0.9453125,,,
0,374,,,,0.9541666507720947,0.17135226726531982
0,374,0.9163541793823242,,0.30447185039520264,,
1,399,,0.875,,,
1,449,,0.9609375,,,
1,499,,0.921875,,,
1,549,,0.890625,,,
1,599,,0.953125,,,
1,649,,0.90625,,,
1,699,,0.9140625,,,
1,749,,0.9140625,,,
1,749,,,,0.9491666555404663,0.18867063522338867
1,749,0.9190624952316284,,0.305296927690506,,
2,799,,0.9296875,,,
2,849,,0.921875,,,
2,899,,0.8984375,,,
2,949,,0.9296875,,,
2,999,,0.9140625,,,
2,1049,,0.953125,,,
2,1099,,0.9453125,,,
