epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.7265625,,,
0,99,,,,0.78125,,,
0,149,,,,0.8203125,,,
0,199,,,,0.796875,,,
0,249,,,,0.8203125,,,
0,299,,,,0.8125,,,
0,349,,,,0.875,,,
0,374,,,,,,0.9191666841506958,0.2906295955181122
0,374,,,0.7779374718666077,,1.1054800748825073,,
1,399,,,,0.8828125,,,
1,449,,,,0.90625,,,
1,499,,,,0.9140625,,,
1,549,,,,0.8515625,,,
1,599,,,,0.8125,,,
1,649,,,,0.8984375,,,
1,699,,,,0.859375,,,
1,749,,,,0.890625,,,
1,749,,,,,,0.9238333106040955,0.27278560400009155
1,749,,,0.8660208582878113,,0.4612082839012146,,
2,799,,,,0.890625,,,
2,849,,,,0.84375,,,
2,899,,,,0.828125,,,
2,949,,,,0.9296875,,,
2,999,,,,0.890625,,,
2,1049,,,,0.9453125,,,
2,1099,,,,0.9140625,,,
2,1124,,,,,,0.9401666522026062,0.2252408266067505
2,1124,,,0.8874375224113464,,0.40327322483062744,,
3,1149,,,,0.9453125,,,
3,1199,,,,0.875,,,
3,1249,,,,0.921875,,,
3,1299,,,,0.890625,,,
3,1349,,,,0.8671875,,,
3,1399,,,,0.90625,,,
3,1449,,,,0.9296875,,,
3,1499,,,,0.890625,,,
3,1499,,,,,,0.9409999847412109,0.2214513123035431
3,1499,,,0.8971874713897705,,0.3665268123149872,,
4,1549,,,,0.9453125,,,
4,1599,,,,0.921875,,,
4,1649,,,,0.90625,,,
4,1699,,,,0.8671875,,,
4,1749,,,,0.9140625,,,
4,1799,,,,0.875,,,
4,1849,,,,0.8671875,,,
4,1874,,,,,,0.9433333277702332,0.20573106408119202
4,1874,,,0.9024375081062317,,0.35770508646965027,,
5,1899,,,,0.90625,,,
5,1949,,,,0.890625,,,
5,1999,,,,0.890625,,,
5,2049,,,,0.8828125,,,
5,2099,,,,0.875,,,
5,2149,,,,0.921875,,,
5,2199,,,,0.8984375,,,
5,2249,,,,0.875,,,
5,2249,,,,,,0.9455000162124634,0.2084845006465912
5,2249,,,0.906583309173584,,0.342393159866333,,
6,2299,,,,0.8984375,,,
6,2349,,,,0.8828125,,,
6,2399,,,,0.8828125,,,
6,2449,,,,0.875,,,
6,2499,,,,0.890625,,,
6,2549,,,,0.921875,,,
6,2599,,,,0.890625,,,
6,2624,,,,,,0.9403333067893982,0.21889112889766693
6,2624,,,0.9091041684150696,,0.3309954106807709,,
7,2649,,,,0.9140625,,,
7,2699,,,,0.9453125,,,
7,2749,,,,0.9140625,,,
7,2799,,,,0.9296875,,,
7,2849,,,,0.90625,,,
7,2899,,,,0.875,,,
7,2949,,,,0.90625,,,
7,2999,,,,0.890625,,,
7,2999,,,,,,0.950166642665863,0.18297015130519867
