epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,299.29437255859375,,
0,5,,,,,,142018.1875,236.437255859375
0,5,,,701710.5625,551.2662353515625,,,
1,9,,,,,271.8092041015625,,
1,11,,,,,,137050.046875,235.0316925048828
1,11,,,168333.421875,251.72984313964844,,,
2,14,,,,,211.60736083984375,,
2,17,,,,,,129574.65625,235.3947296142578
2,17,,,200457.140625,283.9080505371094,,,
3,19,,,,,415.1301574707031,,
3,23,,,,,,134576.1875,238.05511474609375
3,23,,,173025.8125,259.0012512207031,,,
4,24,,,,,332.8959655761719,,
4,29,,,,,218.15992736816406,,
4,29,,,,,,132477.984375,238.52362060546875
4,29,,,169929.546875,262.9018859863281,,,
5,34,,,,,182.795654296875,,
5,35,,,,,,126319.59375,246.10409545898438
5,35,,,139839.296875,233.65963745117188,,,
6,39,,,,,192.37107849121094,,
6,41,,,,,,132499.046875,261.44281005859375
6,41,,,188699.40625,286.38568115234375,,,
7,44,,,,,292.3698425292969,,
7,47,,,,,,124634.671875,241.2074737548828
7,47,,,156848.40625,251.6221160888672,,,
8,49,,,,,167.66494750976562,,
8,53,,,,,,126411.34375,241.32763671875
8,53,,,144824.640625,243.4613800048828,,,
9,54,,,,,222.30029296875,,
9,59,,,,,291.4952392578125,,
9,59,,,,,,131953.375,265.6695556640625
9,59,,,143472.28125,245.83175659179688,,,
10,64,,,,,287.5763244628906,,
10,65,,,,,,126581.6796875,243.84104919433594
10,65,,,153322.78125,258.2713623046875,,,
11,69,,,,,214.01962280273438,,
11,71,,,,,,121051.4296875,246.75942993164062
11,71,,,140549.078125,241.68919372558594,,,
12,74,,,,,285.07806396484375,,
12,77,,,,,,133369.921875,249.01707458496094
12,77,,,132097.359375,244.63461303710938,,,
13,79,,,,,299.1334228515625,,
13,83,,,,,,121562.28125,249.984130859375
13,83,,,151824.75,258.60003662109375,,,
14,84,,,,,269.1639404296875,,
14,89,,,,,211.9861602783203,,
14,89,,,,,,123958.6484375,255.88778686523438
14,89,,,146507.796875,257.431396484375,,,
15,94,,,,,216.02005004882812,,
15,95,,,,,,128510.78125,246.02565002441406
15,95,,,141825.125,251.85311889648438,,,
16,99,,,,,314.3683776855469,,
16,101,,,,,,137273.40625,252.653076171875
16,101,,,153263.09375,263.1986083984375,,,
17,104,,,,,253.49192810058594,,
17,107,,,,,,120854.3828125,250.9932098388672
17,107,,,165182.71875,258.4023742675781,,,
18,109,,,,,278.6509704589844,,
18,113,,,,,,131335.8125,248.02354431152344
18,113,,,133099.296875,248.4090576171875,,,
19,114,,,,,304.3415832519531,,
19,119,,,,,210.49327087402344,,
19,119,,,,,,136165.625,250.62632751464844
19,119,,,153159.203125,256.9287414550781,,,
20,124,,,,,173.31239318847656,,
20,125,,,,,,162230.5,266.359375
20,125,,,126262.8828125,237.35594177246094,,,
21,129,,,,,317.5995178222656,,
21,131,,,,,,125426.6015625,238.5412139892578
21,131,,,118102.7734375,235.0206298828125,,,
22,134,,,,,248.57080078125,,
22,137,,,,,,122753.4453125,246.55389404296875
22,137,,,141099.296875,238.83749389648438,,,
23,139,,,,,240.8864288330078,,
23,143,,,,,,115317.7578125,243.9704132080078
23,143,,,132205.484375,234.9809112548828,,,
24,144,,,,,291.0050048828125,,
24,149,,,,,270.9368591308594,,
24,149,,,,,,188126.03125,280.6894226074219
24,149,,,135178.109375,238.9164581298828,,,
25,154,,,,,212.80892944335938,,
25,155,,,,,,122744.2578125,261.8493347167969
25,155,,,132625.828125,234.63330078125,,,
26,159,,,,,191.7389678955078,,
26,161,,,,,,127860.09375,237.33209228515625
26,161,,,161510.03125,269.599853515625,,,
27,164,,,,,180.7815399169922,,
27,167,,,,,,111966.875,247.48707580566406
27,167,,,126310.765625,220.0216064453125,,,
28,169,,,,,189.03311157226562,,
28,173,,,,,,105031.8515625,230.2407684326172
28,173,,,141367.4375,247.5901336669922,,,
29,174,,,,,281.4954528808594,,
29,179,,,,,98.28952026367188,,
29,179,,,,,,106425.09375,215.29322814941406
29,179,,,152151.265625,247.2025909423828,,,
30,184,,,,,160.15188598632812,,
30,185,,,,,,138120.921875,244.9970703125
30,185,,,135567.84375,232.82391357421875,,,
31,189,,,,,155.41464233398438,,
31,191,,,,,,111769.90625,248.4796905517578
31,191,,,120928.4453125,212.09825134277344,,,
32,194,,,,,294.0246887207031,,
32,197,,,,,,113920.296875,255.6420440673828
32,197,,,135602.734375,241.1636199951172,,,
33,199,,,,,174.9254608154297,,
33,203,,,,,,104535.40625,224.39622497558594
33,203,,,149242.296875,254.47247314453125,,,
34,204,,,,,279.4646301269531,,
34,209,,,,,297.3497619628906,,
34,209,,,,,,104850.75,219.12632751464844
34,209,,,123276.5234375,227.17330932617188,,,
35,214,,,,,283.6968078613281,,
35,215,,,,,,112153.15625,210.18856811523438
35,215,,,127556.03125,237.3560333251953,,,
36,219,,,,,222.72732543945312,,
36,221,,,,,,102425.7421875,214.0352020263672
36,221,,,123023.1796875,227.00038146972656,,,
37,224,,,,,208.78125,,
37,227,,,,,,99837.703125,212.98573303222656
37,227,,,115520.1796875,221.61029052734375,,,
38,229,,,,,192.37832641601562,,
38,233,,,,,,111461.796875,221.27597045898438
38,233,,,113265.7265625,213.72189331054688,,,
39,234,,,,,136.38922119140625,,
39,239,,,,,204.1533966064453,,
39,239,,,,,,116660.578125,216.22325134277344
39,239,,,117552.7421875,228.38504028320312,,,
40,244,,,,,232.77239990234375,,
40,245,,,,,,102923.9765625,215.99119567871094
40,245,,,118950.515625,223.81231689453125,,,
41,249,,,,,183.42393493652344,,
41,251,,,,,,96281.71875,200.68748474121094
41,251,,,128771.609375,229.8203582763672,,,
42,254,,,,,235.30615234375,,
42,257,,,,,,105139.5703125,208.3952178955078
42,257,,,121881.109375,216.7318115234375,,,
43,259,,,,,124.86322021484375,,
43,263,,,,,,95090.8046875,214.64393615722656
43,263,,,117992.0078125,223.99888610839844,,,
44,264,,,,,174.0529327392578,,
44,269,,,,,201.5764617919922,,
44,269,,,,,,94301.4921875,186.11492919921875
44,269,,,109478.7734375,216.7915802001953,,,
45,274,,,,,251.3040313720703,,
45,275,,,,,,95813.21875,212.55288696289062
45,275,,,127708.9609375,241.84388732910156,,,
46,279,,,,,220.12249755859375,,
46,281,,,,,,134681.609375,242.26373291015625
46,281,,,139490.0625,236.76206970214844,,,
47,284,,,,,272.4269714355469,,
47,287,,,,,,107341.3671875,217.71029663085938
47,287,,,128356.546875,235.7805633544922,,,
48,289,,,,,247.06210327148438,,
48,293,,,,,,133447.015625,234.56085205078125
48,293,,,122643.0859375,218.96585083007812,,,
49,294,,,,,276.2978820800781,,
49,299,,,,,206.98373413085938,,
49,299,,,,,,91738.390625,202.92198181152344
49,299,,,102592.9921875,220.18032836914062,,,
50,300,91738.390625,202.92198181152344,,,,,
